train_mae_step,train_mse_step,train_pearson_r_step,train_r2_step,train_loss_step,epoch,step,val_mae,val_mse,val_pearson_r,val_r2,val_loss,train_mae,train_mse,train_pearson_r,train_r2,train_loss,test_kendall_tau,test_mae,test_mse,test_pearson_r,test_r2,test_loss
11.549919128417969,149.57217407226562,0.957084596157074,0.5960451364517212,149.57217407226562,0,49,,,,,,,,,,,,,,,,
3.1155033111572266,20.497711181640625,0.9760858416557312,0.9518163800239563,20.497711181640625,0,99,,,,,,,,,,,,,,,,
2.6421751976013184,17.398603439331055,0.9790230393409729,0.9580566883087158,17.398603439331055,0,149,,,,,,,,,,,,,,,,
2.551929235458374,11.776592254638672,0.9840766787528992,0.9680483937263489,11.776592254638672,0,199,,,,,,,,,,,,,,,,
2.203178882598877,9.022672653198242,0.9897037148475647,0.9790211319923401,9.022672653198242,0,249,,,,,,,,,,,,,,,,
1.9542739391326904,8.043243408203125,0.9888725876808167,0.977173924446106,8.043243408203125,0,299,,,,,,,,,,,,,,,,
1.8375186920166016,5.866720199584961,0.9916406273841858,0.9833042621612549,5.866720199584961,0,349,,,,,,,,,,,,,,,,
,,,,,0,351,1.8209046125411987,6.033736228942871,0.9924975633621216,0.9848220944404602,6.033803462982178,,,,,,,,,,,
,,,,,0,351,,,,,,8.274038314819336,531.7077026367188,0.623502254486084,-0.3599872589111328,531.43896484375,,,,,,
1.6817011833190918,5.146173000335693,0.9929541945457458,0.9858258962631226,5.146173000335693,1,399,,,,,,,,,,,,,,,,
1.6517738103866577,5.328048229217529,0.9923945665359497,0.9844033718109131,5.328048229217529,1,449,,,,,,,,,,,,,,,,
1.740936279296875,5.397819995880127,0.9931840896606445,0.9849632382392883,5.397819995880127,1,499,,,,,,,,,,,,,,,,
1.5225220918655396,4.129534721374512,0.9955279231071472,0.9908608198165894,4.129534721374512,1,549,,,,,,,,,,,,,,,,
1.7263691425323486,4.709221839904785,0.993929922580719,0.9877418875694275,4.709221839904785,1,599,,,,,,,,,,,,,,,,
1.6326253414154053,4.847255706787109,0.9944412112236023,0.9876382350921631,4.847255706787109,1,649,,,,,,,,,,,,,,,,
